approxkl,clipfrac,explained_variance,ep_len_mean,policy_entropy,fps,true_reward,ep_reward_mean,serial_timesteps,n_updates,time_elapsed,policy_loss,total_timesteps,value_loss
0.0034686842,0.033616,0.861820176243782,24.95,5.51036,232148,-0.011755538,0.5118297404095392,8750,35,11.541622400283813,-0.0035085238,875000,0.11589043
0.0039303536,0.042636,0.8556086122989655,25.13,5.5024977,234939,-0.010686644,0.49335903931747455,9000,36,11.87675666809082,-0.0035108842,900000,0.11735114
0.0028450394,0.024616,0.854816660284996,28.08,5.496635,243748,-0.015356752,0.23164444807484869,9250,37,12.2017080783844,-0.0028827223,925000,0.12652436
0.002956659,0.026152,0.853421539068222,27.68,5.4932594,243539,-0.01385529,0.06511568784950214,9500,38,12.528534412384033,-0.0023736686,950000,0.11946966
0.0030044145,0.027244002,0.8609924018383026,29.45,5.4906898,243015,-0.011369355,0.08970979130579508,9750,39,12.854563474655151,-0.002850385,975000,0.10886435
0.003190621,0.029503997,0.8528079241514206,29.59,5.484946,238053,-0.015909914,0.32799451388815215,10000,40,13.182893514633179,-0.0033780574,1000000,0.11877642
0.0025790462,0.019828,0.8559683412313461,24.94,5.477422,225121,-0.008735227,0.27701519592912516,10250,41,13.505740642547607,-0.002753071,1025000,0.11036599
0.0028121273,0.022264,0.8565578460693359,28.87,5.4684825,234241,-0.014616026,0.21004414150653247,10500,42,13.846637725830078,-0.0030895541,1050000,0.1193037
0.0034407924,0.032416,0.870131254196167,28.08,5.4607444,236754,-0.009605501,0.1779889144169465,10750,43,14.18093752861023,-0.00294172,1075000,0.10866542
0.0027171955,0.023424,0.8502839654684067,25.89,5.4604073,238452,-0.015085718,0.2953422933904221,11000,44,14.503849029541016,-0.0030170134,1100000,0.117879376
0.0025495137,0.01972,0.8611669093370438,26.03,5.4590416,236830,-0.009368727,0.3703523779922398,11250,45,14.832117795944214,-0.0025404734,1125000,0.10781141
0.0028937156,0.0246,0.8719339966773987,25.52,5.454034,231954,-0.01377981,0.25911580985586624,11500,46,15.160413980484009,-0.0025646226,1150000,0.111445926
0.0027926571,0.022832002,0.8723370730876923,27.98,5.448797,225264,-0.012389411,0.25505599503901977,11750,47,15.48883056640625,-0.0030944822,1175000,0.11089746
0.0034734744,0.034888003,0.8686246871948242,29.51,5.445633,229406,-0.014263629,0.34264553593038727,12000,48,15.818872928619385,-0.0035573007,1200000,0.112887636
0.002870078,0.027328,0.8745421320199966,23.9,5.439904,223377,-0.010213574,0.3397190659959051,12250,49,16.14268922805786,-0.003059183,1225000,0.11122175
0.0021496918,0.015075999,0.8670475631952286,24.92,5.4269953,229785,-0.008229726,0.5905824176910391,12500,50,16.479085683822632,-0.0025878064,1250000,0.102084056
0.0026235858,0.021528,0.8793896064162254,26.65,5.414353,239760,-0.011529995,0.45540490944960427,12750,51,16.826964378356934,-0.003015227,1275000,0.10773693
0.0024324954,0.020848,0.8805185928940773,26.12,5.403922,243778,-0.011814217,0.29722514183005844,13000,52,17.15810990333557,-0.0028405464,1300000,0.10479603
0.003142199,0.031496,0.8782906457781792,24.25,5.398785,237436,-0.015459476,0.43959123515714965,13250,53,17.484891176223755,-0.0034419508,1325000,0.118603215
0.0023423838,0.018528,0.8794565722346306,27.93,5.3920918,238455,-0.011816291,0.3992914901619224,13500,54,17.812103986740112,-0.0026352652,1350000,0.10559337
0.0028438477,0.023392003,0.8944965079426765,28.77,5.385654,223028,-0.009532595,0.32351991379451644,13750,55,18.138762712478638,-0.0027011214,1375000,0.098031595
0.0029659807,0.0271,0.888717882335186,25.67,5.3826647,228504,-0.0074701593,0.19180457573609602,14000,56,18.46327519416809,-0.0030213487,1400000,0.09475945
0.0024955724,0.020072002,0.8960380852222443,26.41,5.3790593,225780,-0.008066023,0.3790314204148626,14250,57,18.79200315475464,-0.0029780006,1425000,0.09443288
0.00320306,0.031848002,0.8812101855874062,24.74,5.3772583,222648,-0.0127165755,0.4948435609942862,14500,58,19.123343467712402,-0.003369736,1450000,0.10163555
0.0034029451,0.032236002,0.8750284165143967,27.03,5.3708525,249596,-0.012941114,0.2677320017959028,14750,59,19.457818031311035,-0.0024658462,1475000,0.10537659
0.0023548927,0.01718,0.8876251801848412,25.79,5.3634505,235277,-0.008471294,0.5534358493584296,15000,60,19.77743697166443,-0.0021213884,1500000,0.09123858
