serial_timesteps,true_reward,total_timesteps,time_elapsed,policy_entropy,ep_reward_mean,explained_variance,approxkl,value_loss,clipfrac,n_updates,policy_loss,fps,ep_len_mean
9000,-0.8512596,900000,36.65224289894104,5.5923667,-22.37657003250337,0.5259462893009186,0.0064832815,32.29079,0.074144,36,0.0012553388,49615,33.09
9250,-0.8094011,925000,37.636815309524536,5.59215,-20.39243424851389,0.48559075593948364,0.0063514,30.76221,0.072984,37,0.00082860107,32348,33.09
9500,-0.82580024,950000,38.895225048065186,5.5891943,-26.649450252276367,0.4479736089706421,0.0043683425,33.055676,0.048188,38,-0.0021790408,39923,38.2
9750,-0.80102813,975000,40.027228593826294,5.5830035,-22.830810075806586,0.5271089375019073,0.003013045,29.384766,0.028148001,39,-0.0015633001,71197,34.82
10000,-0.7931392,1000000,40.838932275772095,5.57984,-18.563742692552697,0.5232847929000854,0.00359529,28.904837,0.03668,40,-0.0022661474,56735,31.66
10250,-0.7662589,1025000,41.73702263832092,5.5786953,-20.415796077931446,0.5479612350463867,0.0036915499,26.002481,0.038504,41,-0.0027010154,51539,33.83
10500,-0.79721165,1050000,42.6826810836792,5.5723906,-23.524717954740627,0.5035958290100098,0.0031185453,27.77448,0.028908003,42,-0.0020838345,53299,36.36
10750,-0.7842915,1075000,43.60798501968384,5.561139,-22.05612767727507,0.537058562040329,0.004042281,26.626434,0.043092,43,-0.0027944543,56453,33.54
11000,-0.75771266,1100000,44.47274470329285,5.5468283,-18.521236892886517,0.5066425800323486,0.0056307046,25.647442,0.067088,44,-0.0013606437,67705,32.87
11250,-0.7638825,1125000,45.28315591812134,5.5297904,-21.26234656275905,0.5576817989349365,0.022840595,24.42906,0.129448,45,0.01269052,77039,33.64
11500,-0.72944885,1150000,46.02078986167908,5.5208244,-19.899726118778634,0.548269659280777,0.010205053,21.88642,0.106012,46,0.0037587062,87367,34.72
11750,-0.700766,1175000,46.73563861846924,5.5119715,-17.926625108516454,0.551272988319397,0.010100518,21.924187,0.101771995,47,0.0028180946,50442,31.59
12000,-0.66992456,1200000,47.664937019348145,5.50982,-18.825961593750943,0.5748664736747742,0.075325556,19.661774,0.24047199,48,0.03224969,63292,34.83
12250,-0.64169544,1225000,48.44247603416443,5.509305,-17.043807210340745,0.5955547988414764,0.061068892,19.18199,0.24462399,49,0.030224483,53128,32.86
12500,-0.6400146,1250000,49.34880828857422,5.50584,-13.90717951493716,0.6097708344459534,0.007251682,17.059896,0.087468006,50,0.000749185,52590,32.12
12750,-0.6290807,1275000,50.301281213760376,5.5006194,-17.991185470932397,0.5945997834205627,0.021350281,16.8352,0.145644,51,0.008882184,36206,34.14
