explained_variance,time_elapsed,ep_len_mean,policy_loss,approxkl,policy_entropy,ep_reward_mean,n_updates,value_loss,serial_timesteps,true_reward,total_timesteps,clipfrac,fps
0.9397264383733273,11.568634510040283,27.89,-0.0024328097,0.003180492,5.578277,0.6574591119167053,35,0.04257062,8750,0.0021071665,875000,0.028132001,232462
0.943443488329649,11.88964581489563,25.12,-0.002338443,0.0029443807,5.5747824,0.716502554257604,36,0.040488403,9000,0.0006405959,900000,0.025556002,234878
0.9500099085271358,12.214072227478027,23.88,-0.0028179972,0.0038863122,5.5689263,0.609206004880416,37,0.038071774,9250,0.0023679226,925000,0.039415997,220752
0.941671397536993,12.549140214920044,29.14,-0.0025444818,0.004269531,5.561486,1.0045564246502363,38,0.04309696,9500,0.004298736,950000,0.045084,225448
0.94499272108078,12.889814615249634,28.82,-0.0018509639,0.0027081044,5.5589623,0.8482685956259957,39,0.044495385,9750,0.0025381017,975000,0.018988,234426
0.9485237635672092,13.217827320098877,27.23,-0.0024245991,0.004187567,5.5545425,0.8592484953047824,40,0.039413117,10000,0.0006915336,1000000,0.042639993,234268
0.9472377672791481,13.546594142913818,28.47,-0.002744676,0.0034139082,5.5464873,0.6492005673449603,41,0.04063022,10250,0.0010334398,1025000,0.0294,238720
0.951164186000824,13.86695671081543,28.2,-0.0023941319,0.0027705058,5.536046,0.8591981524346375,42,0.039186873,10500,0.001509659,1050000,0.021084,240352
0.9573580361902714,14.20182466506958,27.28,-0.0023256293,0.0026865355,5.523368,0.7314959471210204,43,0.034139503,10750,0.0044651846,1075000,0.020588,236107
0.9562348462641239,14.5197913646698,25.85,-0.003019773,0.002999473,5.5132647,0.6411480623362149,44,0.035908718,11000,0.0023523658,1100000,0.027436,238374
0.9490379765629768,14.838632583618164,26.69,-0.002304331,0.0028431865,5.5076423,0.8267637032437233,45,0.039317347,11250,0.005317489,1125000,0.022960002,237444
0.9522853493690491,15.155649185180664,27.34,-0.0026333916,0.0042837043,5.504798,0.8126822069705668,46,0.03960871,11500,0.0038430456,1150000,0.048984002,232098
0.9578208588063717,15.48027491569519,26.79,-0.0029781968,0.0037593737,5.501458,0.8423681762901833,47,0.035573337,11750,0.0020934576,1175000,0.036979996,232454
0.9588201679289341,15.806885719299316,28.45,-0.0023405515,0.0036204327,5.497736,0.8018288562376984,48,0.0329073,12000,0.0024841153,1200000,0.033616,222748
0.9564221762120724,16.138387441635132,28.81,-0.0023245483,0.0037671241,5.4918885,0.9081152128956638,49,0.033136405,12250,0.007810866,1225000,0.035072,241849
0.9610893800854683,16.45916485786438,28.86,-0.0021724238,0.0026652813,5.485883,0.9001750122587111,50,0.029767688,12500,0.0065188822,1250000,0.01974,237665
0.9576569311320782,16.79432511329651,29.73,-0.0025773894,0.0031487078,5.4826055,0.8385719696406886,51,0.03570056,12750,0.0009965787,1275000,0.026684001,240897
0.9624677002429962,17.117046356201172,27.52,-0.0025446622,0.0032464475,5.4767804,0.7607380551677488,52,0.029364351,13000,0.0047609573,1300000,0.03064,225005
0.9601804912090302,17.44487738609314,30.98,-0.0028994775,0.0037277471,5.4728003,0.948927003722506,53,0.03001459,13250,0.00046288382,1325000,0.036872,225113
0.9666943587362766,17.7725350856781,27.96,-0.0026477566,0.0031143874,5.467574,0.9712963539105113,54,0.028323561,13500,0.007602069,1350000,0.029376,240769
0.9639615379273891,18.09970211982727,27.99,-0.0024375985,0.0027640208,5.4610434,0.7065748889734277,55,0.028375527,13750,0.005780487,1375000,0.022884,235752
0.9661430567502975,18.42269492149353,27.8,-0.0027504317,0.002886995,5.456355,0.7526349587655567,56,0.029048046,14000,0.001953329,1400000,0.022912,230072
0.965073686093092,18.74338960647583,29.34,-0.002558554,0.0031491225,5.447861,0.6574296687050082,57,0.026127571,14250,0.008065396,1425000,0.025883999,227146
0.9634643532335758,19.06911563873291,30.86,-0.0036207114,0.0038975663,5.445968,0.8291237349415678,58,0.030838747,14500,0.002116164,1450000,0.039356,235699
0.9684948809444904,19.39601469039917,29.03,-0.0027412523,0.0029245608,5.4425106,0.8565666883664517,59,0.026515052,14750,0.0018082492,1475000,0.023564,243291
0.9693518653512001,19.717495918273926,27.63,-0.0027964786,0.0037759389,5.435328,1.0608874827000545,60,0.026347747,15000,0.005974362,1500000,0.036647998,228515
0.9673207215964794,20.04048466682434,28.84,-0.0026649707,0.0030897683,5.430109,0.8773087308863206,61,0.025417501,15250,0.007344479,1525000,0.025944,227193
0.9729868154972792,20.365665674209595,28.42,-0.002832697,0.0031219358,5.424221,1.030295994557673,62,0.022449628,15500,0.006222424,1550000,0.028996002,241294
0.9691363424062729,20.691957712173462,29.95,-0.0027185802,0.003293633,5.415201,0.8604350408285427,63,0.026553143,15750,0.0061487104,1575000,0.029884001,239139
0.9699035584926605,21.01509141921997,25.85,-0.0027909514,0.0036849347,5.402683,0.8362509697112546,64,0.026566159,16000,0.004290703,1600000,0.034628004,235565
0.9728494882583618,21.334460973739624,28.99,-0.0034457357,0.003251211,5.3960257,0.6517608984394611,65,0.025944885,16250,0.0017686471,1625000,0.027476002,241216
0.9711513817310333,21.661072492599487,27.96,-0.0021420973,0.0034295067,5.3924108,0.9131150857688044,66,0.024861988,16500,0.006534036,1650000,0.032060005,235743
0.9685032181441784,21.987215757369995,27.93,-0.0029309536,0.003942775,5.391309,1.0083037671184503,67,0.025436193,16750,0.0069265566,1675000,0.039564002,231558
0.9729908183217049,22.31542420387268,28.87,-0.0024763546,0.0028784797,5.3883734,1.031006158284872,68,0.0217096,17000,0.0076096873,1700000,0.021404,224370
0.9713432993739843,22.645888566970825,30.78,-0.0030680369,0.0036997118,5.3776393,1.0533770433971221,69,0.023216259,17250,0.009372131,1725000,0.034192,236468
0.9692813437432051,22.964360237121582,29.74,-0.0022596696,0.0026240484,5.369203,1.0128200403606753,70,0.0251183,17500,0.010714666,1750000,0.021812001,233913
0.9740964621305466,23.292263984680176,30.5,-0.0030666324,0.0037041716,5.36022,0.9921372725834225,71,0.021540314,17750,0.008549099,1775000,0.035428,232854
0.9736914355307817,23.621914386749268,27.91,-0.0031839032,0.0035722977,5.350462,0.759087904890639,72,0.023511846,18000,0.004905961,1800000,0.03432,227725
