ep_reward_mean,policy_loss,value_loss,true_reward,approxkl,explained_variance,total_timesteps,serial_timesteps,ep_len_mean,fps,policy_entropy,n_updates,time_elapsed,clipfrac
-32.50945647892244,-0.00014417132,926.13684,-2.7885919,0.0015282634,0.6335822343826294,900000,9000,23.78,194154,5.7697444,36,13.422739028930664,0.0121720005
-38.49569804134779,-0.00077856646,966.1592,-2.80006,0.0018438287,0.6264886260032654,925000,9250,27.67,202074,5.7698226,37,13.810446977615356,0.016452
-46.720570880182784,5.4971315e-06,995.4499,-2.8391867,0.0022331607,0.6271068751811981,950000,9500,28.31,182158,5.770287,38,14.195096731185913,0.023308
-44.69783943459304,-0.0006587598,938.0641,-2.7799423,0.0013840722,0.6341038644313812,975000,9750,30.79,203060,5.770934,39,14.595441341400146,0.012019999
-39.51995194518642,0.00011847725,903.00684,-2.757691,0.0025382778,0.639842689037323,1000000,10000,27.8,188046,5.7719183,40,14.982618570327759,0.027516002
-48.137558152206765,0.0025661655,876.61505,-2.717531,0.0047857473,0.6357437670230865,1025000,10250,30.31,205184,5.7737217,41,15.372581243515015,0.060591996
-33.34862702590821,0.009808386,885.86456,-2.7562804,0.011880072,0.6275746822357178,1050000,10500,25.63,206619,5.7751093,42,15.756632089614868,0.132236
-45.78283485031478,-0.0016704518,900.24756,-2.7414682,0.0017536152,0.6268746554851532,1075000,10750,32.53,203613,5.775863,43,16.136995792388916,0.0153399985
-42.68351519450545,-0.00049787574,868.30743,-2.745101,0.001723734,0.6340101063251495,1100000,11000,28.67,224452,5.7759333,44,16.53853130340576,0.014348
-43.531056644423224,-0.0006067896,834.0309,-2.6681979,0.0014504616,0.6415136158466339,1125000,11250,31.64,218917,5.775963,45,16.89943265914917,0.01122
-48.43960699355928,-0.0007609952,778.055,-2.6175323,0.0017937549,0.6433796286582947,1150000,11500,30.48,221816,5.776167,46,17.264955282211304,0.016272001
-33.56862223943812,-0.0004779882,770.32074,-2.6063983,0.0019514601,0.6402287781238556,1175000,11750,25.13,225948,5.7763567,47,17.634063005447388,0.020092
-37.93436609112245,-0.00038401494,763.7909,-2.6063738,0.0013357063,0.6371866762638092,1200000,12000,26.81,230987,5.77627,48,18.00441813468933,0.009640001
