explained_variance,policy_loss,approxkl,clipfrac,value_loss,n_updates,true_reward,total_timesteps,ep_len_mean,time_elapsed,fps,ep_reward_mean,policy_entropy,serial_timesteps
0.9521760903298855,-0.0007805912,0.0014751228,0.008756,9.89307,35,-0.5482007,875000,43.27,11.06286358833313,245233,1.6817808138290276,5.8606577,8750
0.961203970015049,-0.0015726602,0.002016022,0.015028,9.256097,36,-0.5537788,900000,43.54,11.38088321685791,239814,1.8686139471187744,5.860027,9000
0.9593955129384995,-0.0014975478,0.0016508074,0.010240001,8.888732,37,-0.5705479,925000,38.7,11.69571042060852,238804,2.066046244331228,5.858148,9250
0.94997738301754,-0.00059381017,0.0015362095,0.009464,8.936235,38,-0.5284974,950000,44.16,12.009298324584961,242214,1.8784694299901274,5.855849,9500
0.9552429169416428,-0.0010960046,0.0011994124,0.0075560003,8.038192,39,-0.5310167,975000,40.42,12.324411392211914,239453,2.0903739233674425,5.853433,9750
0.9571117535233498,-0.0005364858,0.0006618914,0.002592,7.8107123,40,-0.54886717,1000000,39.19,12.635854959487915,240591,1.787199516398905,5.8509846,10000
0.9647050574421883,-0.0007337662,0.0011864208,0.00554,6.5865717,41,-0.5308982,1025000,40.9,12.949952840805054,247442,2.3781029447705078,5.8490767,10250
0.9648212119936943,-0.0006808941,0.0005414891,0.001748,6.3005686,42,-0.5163983,1050000,47.43,13.259636402130127,258926,2.804791641829324,5.848079,10500
0.9624092988669872,-0.0013869118,0.0017812453,0.0136440005,6.2439995,43,-0.5345028,1075000,36.98,13.564549207687378,254990,2.0798609992455566,5.846719,10750
0.9614670164883137,-0.0012164216,0.0012180359,0.00674,6.0489516,44,-0.5177423,1100000,42.92,13.870290756225586,255943,2.5952248907119064,5.8453846,11000
0.9651301987469196,-0.00084141624,0.00091199216,0.0038359999,5.193834,45,-0.5150487,1125000,44.9,14.187200784683228,251580,2.5436152575648885,5.844032,11250
0.9559136778116226,-0.00059654645,0.0004533929,0.001996,5.909319,46,-0.498308,1150000,47.0,14.491307497024536,247261,2.641704544710574,5.843481,11500
0.9421443417668343,-0.00055984175,0.000311947,0.00030800002,6.6716866,47,-0.5177328,1175000,42.64,14.798213243484497,195871,2.1431313838429924,5.843333,11750
0.9535365663468838,-0.0012436162,0.00076910213,0.0032880001,5.825729,48,-0.5101883,1200000,45.51,15.138092279434204,248441,2.2331759718770625,5.842214,12000
0.9589961506426334,-0.0009782802,0.0006405824,0.002832,5.041485,49,-0.53464806,1225000,37.67,15.44684624671936,246909,2.2387200656125787,5.841321,12250
0.9600975625216961,-0.00062113866,0.0003595638,0.000588,4.8578978,50,-0.49337423,1250000,47.9,15.752162456512451,253675,1.9231000814182335,5.8406873,12500
0.9470908641815186,-0.0009514481,0.00037930868,0.00084799994,5.6778717,51,-0.52527744,1275000,42.97,16.05633807182312,254992,2.6325036849779826,5.839689,12750
0.9469568803906441,-0.0007413934,0.0008546234,0.0042600003,5.632151,52,-0.5112176,1300000,45.61,16.359469890594482,246890,2.67876121568057,5.8364077,13000
0.9529507346451283,-0.0011847687,0.000789563,0.004576,5.002388,53,-0.5192277,1325000,42.14,16.67034649848938,245127,2.5638519498798997,5.8339305,13250
0.9518521167337894,-0.00050141977,0.0012056885,0.0058639995,4.754298,54,-0.49830487,1350000,48.27,16.98129177093506,232850,2.3334191622598017,5.832819,13500
0.9560185596346855,-0.00123138,0.0012975186,0.007843999,4.6502066,55,-0.50506,1375000,45.12,17.298714876174927,242758,1.5226284260838292,5.8318543,13750
0.954564668238163,-0.00075282564,0.0005198137,0.0012640001,4.789149,56,-0.50260717,1400000,46.5,17.616272449493408,235077,2.250838807901673,5.8300157,14000
0.956036876887083,-0.00036914556,0.00053538743,0.000532,4.3077235,57,-0.52076435,1425000,46.25,17.935259103775024,249687,2.2562087120065373,5.828346,14250
0.9572554416954517,-0.0011191631,0.00087267335,0.004456,4.1365576,58,-0.514874,1450000,42.8,18.240846633911133,248164,2.6751967875314584,5.8258395,14500
0.9555775746703148,-0.0011395754,0.0014830861,0.011460001,4.445263,59,-0.48742315,1475000,46.7,18.546504259109497,244542,2.5391142537344966,5.823188,14750
0.9505953416228294,-0.000572481,0.0007214263,0.002912,4.5460443,60,-0.4768579,1500000,43.76,18.863833904266357,247305,2.928930796959248,5.8211465,15000
0.9543961100280285,-0.0006696524,0.0006468091,0.002176,4.134635,61,-0.4845435,1525000,51.8,19.17130732536316,244422,2.8396924990659316,5.8202577,15250
0.9572873711585999,-0.000959849,0.000692109,0.002888,3.8814702,62,-0.49535328,1550000,41.88,19.48490262031555,242983,2.4077765420159265,5.819822,15500
0.9564027674496174,-0.0011557702,0.00089826307,0.004732,3.7877707,63,-0.47970098,1575000,49.16,19.794979572296143,258599,2.885706892212838,5.818925,15750
0.9555729851126671,-0.0005217135,0.00043261997,0.001296,3.8811574,64,-0.51688814,1600000,40.2,20.103436708450317,247191,2.606610654276301,5.8194194,16000
0.9518351554870605,-0.0011155384,0.0012878812,0.0075600008,4.0351667,65,-0.49679914,1625000,49.69,20.413433074951172,243100,2.6884298059307183,5.8191853,16250
0.9471508301794529,-0.00047139212,0.0006060485,0.001792,4.7296777,66,-0.49570933,1650000,48.06,20.73002004623413,248157,1.704258750444551,5.817544,16500
0.955389954149723,-0.0012163918,0.00071804284,0.0028360002,4.263547,67,-0.4855416,1675000,44.74,21.039938926696777,252041,1.3516938719116842,5.816615,16750
0.9506648816168308,-0.0011461026,0.0010046639,0.004892,4.2040205,68,-0.49660808,1700000,48.08,21.339153051376343,249635,2.498840425129074,5.814525,17000
0.9444263726472855,-0.00094127434,0.0009019695,0.005124,4.766158,69,-0.4866116,1725000,49.85,21.654229879379272,236947,1.2445244812725833,5.8119245,17250
0.93972547352314,-0.00095127634,0.0012689376,0.0076079993,5.003164,70,-0.49082223,1750000,41.91,21.96315836906433,239998,2.7972287558893005,5.808785,17500
0.9443834833800793,-0.0013325405,0.0011471871,0.005752,4.6832366,71,-0.4685139,1775000,48.41,22.276197910308838,239826,2.742486428321572,5.806581,17750
0.9503018073737621,-0.0011303031,0.001577772,0.01024,4.3134985,72,-0.46722096,1800000,49.43,22.58566927909851,236554,2.904379528173304,5.8058195,18000
0.9479032829403877,-0.0008613163,0.0004448879,0.001472,4.6101613,73,-0.47461864,1825000,44.6,22.89657711982727,245162,2.747034097376818,5.8040204,18250
0.9519247002899647,-0.0010755109,0.0018115789,0.011868,4.3545737,74,-0.4801303,1850000,50.4,23.202649116516113,243144,2.322561997572411,5.8021426,18500
0.9451621845364571,-0.0007585115,0.0006281863,0.002248,4.672003,75,-0.4563507,1875000,53.08,23.510054349899292,233106,2.3707569385059286,5.8004465,18750
0.9487033300101757,-0.001008455,0.0012645479,0.0073680007,4.3189707,76,-0.4794845,1900000,47.39,23.819143056869507,241951,2.992859363211287,5.7987003,19000
0.9347909241914749,-0.0010224772,0.00079323474,0.004048,5.9922094,77,-0.46701476,1925000,48.44,24.124170303344727,248290,2.1191732373016383,5.798007,19250
0.9446727558970451,-0.00086502434,0.0011239654,0.0065200003,5.390905,78,-0.46057913,1950000,51.99,24.428141593933105,241457,0.6144219835611875,5.797838,19500
0.9501422569155693,-0.0013778496,0.0012677589,0.008676,4.327151,79,-0.43868387,1975000,53.97,24.73627781867981,255785,2.400746266525821,5.797291,19750
0.9375999867916107,-0.0010130868,0.0008726253,0.0048519997,5.919118,80,-0.42842668,2000000,59.78,25.03616690635681,249381,1.4839737586347155,5.7963,20000
0.9464985951781273,-0.0017838996,0.00081399333,0.004476,5.385706,81,-0.46351847,2025000,49.44,25.334023475646973,246031,1.9723329048263987,5.795231,20250
0.9366484805941582,-0.0014693633,0.0008548801,0.0045439997,7.426117,82,-0.47030523,2050000,54.17,25.640573263168335,246949,-1.232809142888109,5.793676,20500
0.9337640404701233,-0.0015834073,0.0009834126,0.0050520003,6.127721,83,-0.44081277,2075000,53.84,25.945737838745117,242338,2.0543335091235746,5.792212,20750
0.9356904476881027,-0.0016088687,0.00090963783,0.0051120003,6.4200964,84,-0.46359128,2100000,50.05,26.252492666244507,231688,1.6996514814083639,5.790223,21000
0.9324588179588318,-0.0022771158,0.0017042079,0.011175999,6.1938887,85,-0.46613953,2125000,54.06,26.571489810943604,241007,0.5036052201087751,5.7887,21250
0.9283652529120445,-0.0016381366,0.001033419,0.006863999,7.8281264,86,-0.46718362,2150000,56.89,26.88495421409607,239885,0.6664779439500853,5.7887654,21500
0.9332450926303864,-0.0016598959,0.0013553353,0.010536,7.006775,87,-0.4346193,2175000,64.38,27.198195934295654,246964,0.0648688428427522,5.789138,21750
0.9330812394618988,-0.001532363,0.001233468,0.008428,8.089224,88,-0.442486,2200000,59.01,27.505983352661133,244611,-0.8858349124399684,5.7894754,22000
0.924908310174942,-0.001615423,0.0010134261,0.0065759993,8.593711,89,-0.4376362,2225000,60.69,27.811760902404785,245941,-0.4142377883017798,5.790234,22250
0.9353927001357079,-0.0015213018,0.001456653,0.00978,6.100421,90,-0.41687468,2250000,62.96,28.112905740737915,243605,1.3952014535213675,5.7899046,22500
0.932219572365284,-0.0010171735,0.0016697278,0.0126640005,6.8840613,91,-0.4367356,2275000,58.37,28.423874855041504,252040,2.230456046762847,5.788209,22750
0.9331901296973228,-0.0014137753,0.0011674376,0.008803999,6.5312285,92,-0.4442864,2300000,53.75,28.727057695388794,245728,1.2074314599986247,5.786586,23000
0.9299685955047607,-0.0016203303,0.0016484499,0.013764,7.5794554,93,-0.41646284,2325000,65.68,29.034896850585938,248347,0.280622628109071,5.7862735,23250
0.9208725914359093,-0.0018636128,0.001249593,0.007612,7.7950487,94,-0.433072,2350000,60.66,29.335205554962158,252505,0.6584698864662641,5.785789,23500
0.9290560632944107,-0.0017868107,0.001309482,0.0076520005,8.766914,95,-0.4481375,2375000,56.08,29.6445574760437,240733,1.2660221330264176,5.784674,23750
0.9271747544407845,-0.0021879787,0.0009640184,0.00478,7.246253,96,-0.44415164,2400000,63.51,29.951762676239014,250790,1.5840281804140977,5.783751,24000
0.9205800145864487,-0.0016784869,0.0014035043,0.009336,9.162947,97,-0.43074644,2425000,64.21,30.25265908241272,243920,-1.426260693170916,5.7834425,24250
0.9266539886593819,-0.0023469378,0.001512199,0.011436,8.541808,98,-0.43328476,2450000,61.84,30.557225465774536,245425,0.7489156670858438,5.7824373,24500
0.9320396408438683,-0.0018722859,0.0014038197,0.010276,7.5332017,99,-0.40928027,2475000,67.55,30.861350059509277,247331,-1.0287421612778416,5.7813177,24750
0.9312200024724007,-0.0016045676,0.0013255249,0.009584,7.990083,100,-0.40148866,2500000,65.31,31.164418697357178,245936,0.9395665389343594,5.7787776,25000
0.9256352707743645,-0.0018206907,0.003568168,0.035368003,7.7797117,101,-0.40625876,2525000,64.18,31.467349767684937,246441,-0.7552368038740315,5.7771544,25250
