time_elapsed,clipfrac,policy_loss,n_updates,ep_len_mean,value_loss,approxkl,explained_variance,policy_entropy,serial_timesteps,true_reward,ep_reward_mean,total_timesteps,fps
12.200428485870361,0.045948002,-0.0021859857,36,41.15,24.909525,0.004084273,0.9000243693590164,5.737216,9000,-0.6842963,-3.823590450128395,900000,208868
12.52724027633667,0.026532,-0.0012838257,37,44.15,24.263409,0.0026526013,0.8957195654511452,5.7339926,9250,-0.667745,-4.782853396746686,925000,197942
12.862552642822266,0.050995998,0.00036337398,38,47.15,23.460323,0.0048885425,0.8984430581331253,5.732698,9500,-0.653433,-4.599552445635054,950000,206687
13.19515085220337,0.02344,-0.0021373022,39,45.19,23.333164,0.0025833691,0.8985504060983658,5.732745,9750,-0.6745864,-5.121458545798623,975000,203974
13.536717653274536,0.055128,-0.00086358114,40,44.19,21.624044,0.0050920844,0.8928981646895409,5.7305713,10000,-0.649081,-3.836198776561316,1000000,198543
13.874991178512573,0.032196004,-0.0021028023,41,40.45,19.894222,0.0030479163,0.8956200778484344,5.7287207,10250,-0.6431846,-2.344406070816258,1025000,191614
14.211893320083618,0.042008,-0.0017049408,42,43.84,18.259058,0.003707713,0.9047238007187843,5.728017,10500,-0.64284694,-4.323324782592899,1050000,187800
14.561706066131592,0.061256,0.0010821683,43,40.75,17.078959,0.0059986366,0.9099679663777351,5.7290387,10750,-0.6527397,-3.130004176307366,1075000,203611
14.894040822982788,0.033520002,-0.0015669767,44,39.27,16.587967,0.0033521052,0.897082693874836,5.7317266,11000,-0.6351797,-1.8486193624281442,1100000,200948
15.227802515029907,0.047707997,-0.0025936032,45,45.15,14.850192,0.004150556,0.9090733826160431,5.731488,11250,-0.6145431,-2.9145704225067495,1125000,201969
15.563971996307373,0.062924,-0.0008902614,46,42.04,14.679051,0.0055667777,0.9015955701470375,5.732932,11500,-0.6176186,-1.8326063209516559,1150000,183711
15.915351867675781,0.028764,-0.0030915537,47,41.77,13.112335,0.0030272577,0.9170733690261841,5.732622,11750,-0.62107694,-1.7367423109358697,1175000,191988
16.263387203216553,0.049372,-0.003057051,48,39.12,13.800275,0.004297344,0.8957182392477989,5.733487,12000,-0.6044433,-1.3970340134278012,1200000,194375
16.60120940208435,0.071940005,-0.0006580694,49,35.77,11.54251,0.006755063,0.9145945012569427,5.7359653,12250,-0.6207262,-1.415451706845579,1225000,202554
16.935152292251587,0.120827995,0.0035352851,50,43.33,13.112106,0.013903795,0.8926360756158829,5.742209,12500,-0.58141595,-1.096087585280684,1250000,196319
17.268729209899902,0.060644,-0.003051242,51,40.3,12.117521,0.0054030563,0.89679816365242,5.7477694,12750,-0.587952,-0.930878700411522,1275000,198389
17.60140824317932,0.078028,-0.00050936,52,44.92,11.416989,0.0079836445,0.8980469852685928,5.7525578,13000,-0.5715397,-1.2197874308153769,1300000,202288
17.932820320129395,0.05902,-0.0031959978,53,42.69,11.306871,0.0051031807,0.8998184055089951,5.758725,13250,-0.58781385,-1.629997716045982,1325000,193767
18.26592254638672,0.061768003,-0.0007455866,54,40.32,10.977485,0.005726983,0.9023969545960426,5.7552676,13500,-0.57412064,-0.7385782847677456,1350000,194187
18.5938777923584,0.042348005,-0.0023586503,55,43.14,13.485494,0.0042004483,0.8682107031345367,5.754181,13750,-0.5506223,-0.7768849593288177,1375000,188618
18.934536933898926,0.050928004,-0.0015059771,56,43.86,10.870517,0.004600019,0.898994505405426,5.751527,14000,-0.56072235,-0.7877782887607827,1400000,191473
19.275041341781616,0.030267999,-0.0020793928,57,42.76,12.354609,0.0030590906,0.8738006204366684,5.749274,14250,-0.5510927,-0.6369139740769606,1425000,198297
19.608205556869507,0.033808,-0.001971706,58,46.2,12.853178,0.003345027,0.8764751479029655,5.7462854,14500,-0.53757864,-1.10038090855076,1450000,198946
19.93594002723694,0.032108,-0.0025240916,59,45.79,11.636812,0.003161316,0.8851225972175598,5.7479825,14750,-0.545548,-1.1370613961179696,1475000,198099
20.263431549072266,0.041996,-0.002505169,60,44.93,11.416647,0.0037934904,0.8901446983218193,5.750188,15000,-0.5457769,-0.8623723634985799,1500000,206840
20.589965343475342,0.049131997,-0.0014787868,61,39.72,9.755636,0.004418631,0.9099897220730782,5.7518973,15250,-0.5634324,-0.3055901928698512,1525000,199577
20.920599699020386,0.025512,-0.00164271,62,40.59,9.534906,0.0027867868,0.903765432536602,5.750724,15500,-0.5506126,-0.3720538811854203,1550000,202606
