value_loss,approxkl,fps,serial_timesteps,total_timesteps,explained_variance,clipfrac,policy_entropy,n_updates,true_reward,ep_len_mean,policy_loss,time_elapsed,ep_reward_mean
3.1300788,0.005230618,68567,9250,925000,0.9192402735352516,0.062251996,5.7739453,37,0.053848796,32.98,-0.0009134926,30.2743079662323,8.18177652657032
3.0781438,0.0058035115,51464,9500,950000,0.9213197156786919,0.067148,5.780144,38,0.053384606,32.42,0.00029268774,31.056498527526855,7.936825040876865
2.5495486,0.0038810715,61827,9750,975000,0.9331286996603012,0.041851997,5.781386,39,0.04776485,29.75,-0.0026534202,31.931047916412354,8.107482897937297
2.4855225,0.0047298274,76721,10000,1000000,0.9339287877082825,0.053983998,5.7809777,40,0.049882382,33.06,-0.0017010845,32.73812508583069,8.451839241981506
2.473456,0.0028285016,73497,10250,1025000,0.9353616535663605,0.026928002,5.7815213,41,0.0494777,33.24,-0.001924265,33.472338914871216,8.400309669673442
2.5099118,0.0032393269,73679,10500,1050000,0.9331400841474533,0.032468,5.782955,42,0.05161429,35.72,-0.0020625982,34.21844220161438,8.555728367865086
2.4948394,0.006647875,73549,10750,1075000,0.93416827917099,0.057856,5.783597,43,0.04557078,32.27,0.0010700673,34.934110164642334,7.66329291254282
2.3440137,0.004882728,51908,11000,1100000,0.936176598072052,0.055444002,5.7846465,44,0.049021162,26.38,-0.0009611196,35.65101075172424,7.30161998718977
2.4335525,0.0045091584,72372,11250,1125000,0.9360824674367905,0.048008002,5.786565,45,0.04926956,29.23,-0.0006125819,36.53785157203674,7.766318779289723
2.2281022,0.0037715635,76535,11500,1150000,0.9400229007005692,0.04146,5.787858,46,0.05123502,34.03,-0.0012890163,37.278390645980835,8.360753602087497
2.1459956,0.005094191,85906,11750,1175000,0.940309539437294,0.05838,5.787777,47,0.049590986,31.26,-0.0004691578,38.00436496734619,8.097075794041157
2.3549242,0.0046058143,80326,12000,1200000,0.935680203139782,0.051756002,5.784992,48,0.05109194,36.41,-0.0002080597,38.70673608779907,8.713406271636487
2.2373338,0.0058255824,60928,12250,1225000,0.9362412616610527,0.06476,5.7854376,49,0.05264889,28.59,0.00057110825,39.419508934020996,7.944709693789482
2.2366595,0.0045461273,62211,12500,1250000,0.9377396330237389,0.052380003,5.7877707,50,0.0522793,31.57,-0.00162131,40.22946858406067,8.232904104888439
