x,y,z
0.318924,-9.50743,5.28543
0.547407,-9.44872,5.28888
0.778106,-9.38232,5.29488
1.01004,-9.30835,5.30376
1.24224,-9.22707,5.31578
1.47378,-9.13886,5.33106
1.70378,-9.0442,5.34961
1.93148,-8.94359,5.37137
2.15625,-8.83765,5.39613
2.37759,-8.727,5.42354
2.59514,-8.61229,5.45316
2.80868,-8.49415,5.48449
3.01811,-8.37319,5.51696
3.22345,-8.24994,5.55003
3.42479,-8.12491,5.58317
3.62225,-7.99852,5.61589
3.81592,-7.87114,5.64782
4.00582,-7.74309,5.67871
4.19192,-7.61466,5.70834
4.37416,-7.48615,5.73656
4.5525,-7.35785,5.76323
4.72687,-7.23007,5.78822
4.89729,-7.1031,5.8114
5.06376,-6.97725,5.83266
5.2263,-6.85282,5.8519
5.38498,-6.73013,5.86902
5.53988,-6.60948,5.88396
5.69108,-6.49119,5.89667
5.83869,-6.37559,5.90714
5.98287,-6.26301,5.91539
6.12377,-6.15377,5.92148
6.26163,-6.04813,5.92546
6.39675,-5.94632,5.92743
6.52941,-5.84857,5.92752
6.6599,-5.75507,5.92591
6.78858,-5.66595,5.92279
6.91572,-5.58157,5.91854
7.04172,-5.50236,5.91357
7.16733,-5.4278,5.90761
7.29328,-5.35695,5.90013
7.42017,-5.28942,5.89103
7.54856,-5.22493,5.88032
7.67899,-5.16317,5.86808
7.81191,-5.10369,5.85439
7.94773,-5.046,5.83935
8.08661,-4.98944,5.82296
8.22854,-4.93334,5.80513
8.3735,-4.87704,5.78592
8.52141,-4.8199,5.76537
8.67202,-4.7613,5.74354
8.82498,-4.70067,5.72045
8.98032,-4.63669,5.69697
9.1375,-4.56894,5.67321
9.29555,-4.49806,5.64842
9.45395,-4.42396,5.62263
9.61221,-4.34657,5.59589
9.76982,-4.26598,5.56816
9.92626,-4.18236,5.53944
10.081,-4.09589,5.50978
10.2335,-4.00692,5.47923
10.3833,-3.9159,5.44789
10.53,-3.8234,5.41585
10.6734,-3.73013,5.3833
10.8134,-3.63688,5.35041
10.9508,-3.54422,5.31653
11.0862,-3.4527,5.28138
11.2199,-3.36316,5.24557
11.3527,-3.27612,5.20928
11.4855,-3.19174,5.17252
9.842,1.77062,5
9.83492,1.80998,5.00077
9.82785,1.84937,5.00313
9.82083,1.8888,5.00714
9.81391,1.92833,5.0129
9.80716,1.96806,5.02058
9.80064,2.0081,5.03024
9.79442,2.04861,5.04186
9.78852,2.08978,5.05542
9.78297,2.13183,5.07088
9.77777,2.17498,5.08817
9.7729,2.21948,5.10721
9.76829,2.26559,5.12793
9.76388,2.31354,5.1502
9.75955,2.3636,5.1739
9.75517,2.416,5.1989
9.75056,2.47094,5.22506
9.74555,2.52862,5.2522
9.7399,2.58921,5.28018
9.73338,2.65283,5.30883
9.72571,2.71957,5.33798
9.71662,2.78948,5.36746
9.70584,2.86252,5.3971
9.69308,2.93863,5.42674
9.67808,3.01766,5.45624
