x,y,z
-2.57791,-9.48974,5.30432
-2.40118,-9.50926,5.30046
-2.21515,-9.52496,5.2938
-2.02012,-9.53623,5.28466
-1.81644,-9.54247,5.27349
-1.60453,-9.54312,5.26077
-1.38488,-9.53766,5.2471
-1.15806,-9.52558,5.2331
-0.924763,-9.50645,5.21943
-0.685769,-9.47993,5.20677
-0.441968,-9.44575,5.19578
-0.194339,-9.4038,5.18706
0.0560745,-9.35406,5.18117
0.308187,-9.29665,5.17855
0.560909,-9.23182,5.17955
0.813175,-9.15992,5.18441
1.06398,-9.0814,5.19323
1.31241,-8.99678,5.20601
1.55765,-8.90661,5.22265
1.79901,-8.81149,5.24295
2.03598,-8.71205,5.26652
2.26825,-8.60893,5.29287
2.49567,-8.50272,5.3214
2.71821,-8.39396,5.35153
2.93592,-8.28311,5.38265
3.14893,-8.17057,5.41422
3.35741,-8.05669,5.44571
3.56151,-7.94175,5.47669
3.76136,-7.82601,5.5068
3.95703,-7.70968,5.53575
4.14851,-7.59299,5.56333
4.33575,-7.47616,5.58938
4.51867,-7.3594,5.61375
4.69719,-7.24297,5.63633
4.87127,-7.1271,5.65699
5.04091,-7.01206,5.6756
5.20611,-6.89812,5.69203
5.36689,-6.78555,5.70619
5.52325,-6.67464,5.718
5.67522,-6.56573,5.72742
5.82287,-6.45914,5.7344
5.96635,-6.35517,5.73892
6.10583,-6.25414,5.74098
6.24152,-6.15635,5.74064
6.37364,-6.06208,5.73796
6.50244,-5.97163,5.7331
6.6282,-5.88523,5.72621
6.75126,-5.80305,5.71748
6.87198,-5.72522,5.70716
6.99071,-5.65177,5.6955
7.10774,-5.58294,5.68296
7.22344,-5.51904,5.67
7.33855,-5.4596,5.65646
7.45381,-5.40383,5.6419
7.56981,-5.35137,5.62627
7.68715,-5.30194,5.60968
7.8063,-5.25516,5.59223
7.92764,-5.21048,5.57387
8.05136,-5.1673,5.55454
8.17765,-5.12506,5.53425
8.30664,-5.08319,5.51302
8.43837,-5.04109,5.49089
8.57285,-4.99816,5.46795
8.7099,-4.95378,5.44421
8.8492,-4.90739,5.41964
8.99082,-4.8577,5.39516
9.1343,-4.80413,5.37092
9.27875,-4.74725,5.34602
9.42367,-4.68704,5.32027
9.56858,-4.62345,5.29362
9.71298,-4.55648,5.26599
9.85632,-4.48615,5.23742
9.99801,-4.41262,5.20797
10.1375,-4.33616,5.17772
10.2742,-4.25723,5.14678
10.4078,-4.17641,5.11532
10.5381,-4.0944,5.08353
10.6648,-4.01196,5.05176
10.788,-3.92987,5.02042
10.9083,-3.84874,4.98977
11.0265,-3.76892,4.95998
11.1434,-3.69047,4.93108
11.2598,-3.61314,4.903
11.3763,-3.53644,4.87478
